2023-10-27 03:05:17 403 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 - 41445
2023-10-27 03:14:05 200 POST /user/json/checkDuplication/tes HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 42 107148
2023-10-27 03:14:05 200 POST /user/json/checkDuplication/test HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 43 10092
2023-10-27 03:14:05 200 POST /user/json/checkDuplication/test1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 44 13634
2023-10-27 03:14:27 200 GET /manifest.json HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 492 3354
2023-10-27 03:14:27 200 GET /static/css/main.699cb5ff.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 22869 5088
2023-10-27 03:14:28 200 GET /static/js/main.6c988b68.js.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 1795651 52648
2023-10-27 03:14:28 200 GET /static/css/main.699cb5ff.css.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 30736 11990
2023-10-27 03:14:29 404 POST /api/v1/json/signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 151 53464
2023-10-27 03:16:27 200 GET /user/addUser HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 1392 95834
2023-10-27 03:16:27 200 GET /static/css/main.699cb5ff.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 22869 15946
2023-10-27 03:16:27 200 GET /static/css/main.699cb5ff.css.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 30736 23657
2023-10-27 03:16:27 200 GET /static/js/main.8d532b91.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 449768 194492
2023-10-27 03:16:27 200 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 3870 6902
2023-10-27 03:16:27 200 GET /static/js/main.8d532b91.js.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 1795651 30473
2023-10-27 03:16:28 200 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 3870 2919
2023-10-27 03:16:28 200 GET /manifest.json HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 492 4089
2023-10-27 03:16:28 200 GET /logo192.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 5347 3606
2023-10-27 03:16:28 200 GET /static/js/main.8d532b91.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 449768 4920
2023-10-27 03:16:32 200 POST /user/json/checkDuplication/tes HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 42 66547
2023-10-27 03:16:32 200 POST /user/json/checkDuplication/test HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 43 7291
2023-10-27 03:16:36 200 POST /user/json/checkDuplication/test1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 44 5708
2023-10-27 03:16:54 404 POST /api/v1/json/singup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 151 68292
2023-10-27 03:26:00 405 GET /api/v1/auth/json/signup HTTP/1.1 PostmanRuntime/7.34.0 - 127.0.0.1 10009 87460
2023-10-27 03:26:14 415 POST /api/v1/auth/json/signup HTTP/1.1 PostmanRuntime/7.34.0 - 127.0.0.1 10762 50288
2023-10-27 03:27:40 400 POST /api/v1/auth/json/signup HTTP/1.1 PostmanRuntime/7.34.0 - 127.0.0.1 12521 100434
2023-10-27 03:28:02 400 POST /api/v1/auth/json/signup HTTP/1.1 PostmanRuntime/7.34.0 - 127.0.0.1 12521 7571
2023-10-27 03:31:35 200 POST /api/v1/auth/json/signup HTTP/1.1 PostmanRuntime/7.34.0 - 127.0.0.1 287 254764
2023-10-27 03:35:52 200 GET /user/addUser HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 1392 160473
2023-10-27 03:35:52 200 GET /static/css/main.699cb5ff.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 22869 15350
2023-10-27 03:35:52 200 GET /static/js/main.8d532b91.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 449768 21295
2023-10-27 03:35:52 200 GET /static/css/main.699cb5ff.css.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 30736 25639
2023-10-27 03:35:52 200 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 3870 7409
2023-10-27 03:35:52 200 GET /static/js/main.8d532b91.js.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 1795651 22022
2023-10-27 03:35:53 200 GET /manifest.json HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 492 5779
2023-10-27 03:35:53 200 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 3870 5833
2023-10-27 03:35:53 200 GET /logo192.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 5347 5931
2023-10-27 03:35:59 200 POST /user/json/login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 30 232496
2023-10-27 03:36:15 200 POST /user/json/login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 30 12889
2023-10-27 03:36:30 200 POST /user/json/login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 307 23457
2023-10-27 03:36:30 200 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/user/addUser 127.0.0.1 1392 9569
2023-10-27 03:36:30 200 GET /static/css/main.699cb5ff.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 22869 4733
2023-10-27 03:36:30 200 GET /static/js/main.8d532b91.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 449768 6121
2023-10-27 03:36:30 200 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 3870 4099
2023-10-27 03:36:30 200 GET /static/css/main.699cb5ff.css.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 30736 4391
2023-10-27 03:36:30 200 GET /static/js/main.8d532b91.js.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 1795651 11796
2023-10-27 03:36:30 200 GET /static/media/banner-1.b5124fbc75ea70c556f0.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 13487 25624
2023-10-27 03:36:30 200 GET /static/media/banner-0.9c9f2782f4dd5345c2b9.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 28664 26004
2023-10-27 03:36:30 200 GET /static/media/banner-2.ebc92ccd692d6ea56134.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 85546 19574
2023-10-27 03:36:31 200 GET /manifest.json HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 492 3742
2023-10-27 03:36:31 200 GET /logo192.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 5347 4785
2023-10-27 03:36:33 200 POST /product/json/getProductList HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 1796 372085
2023-10-27 03:36:33 200 GET /images/uploadFiles/AHlbAAAAve1WwgAC.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 15535 16793
2023-10-27 03:36:33 200 GET /images/uploadFiles/AHlbAAAAtBqyWAAA.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 12236 19914
2023-10-27 03:36:33 200 GET /images/uploadFiles/AHlbAAAAve37LwAD.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 14501 17900
2023-10-27 03:36:33 200 GET /images/uploadFiles/AHlbAAAAvewfegAB.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 171432 23023
2023-10-27 03:36:33 200 GET /images/uploadFiles/AHlbAAAAvetFNwAA.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 113272 20944
2023-10-27 03:36:33 200 GET /images/uploadFiles/AHlbAAAAtDPSiQAA.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 83794 23312
2023-10-27 03:36:33 200 GET /images/uploadFiles/AHlbAAAAug1vsgAA.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 12236 11023
2023-10-27 03:36:33 404 GET /images/uploadFiles/%ED%85%8C%EC%8A%A4%ED%8A%B801 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 181 13660
2023-10-27 03:36:43 302 GET /user/logout HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 - 13721
2023-10-27 03:36:43 200 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/product/listProduct 127.0.0.1 1392 5896
2023-10-27 03:36:43 200 GET /static/css/main.699cb5ff.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 22869 4171
2023-10-27 03:36:43 200 GET /static/js/main.8d532b91.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 449768 6597
2023-10-27 03:36:43 200 GET /static/css/main.699cb5ff.css.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 30736 3223
2023-10-27 03:36:43 200 GET /static/js/main.8d532b91.js.map HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 - 127.0.0.1 1795651 13507
2023-10-27 03:36:43 200 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 3870 5608
2023-10-27 03:36:43 200 GET /static/media/banner-1.b5124fbc75ea70c556f0.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 13487 3449
2023-10-27 03:36:43 200 GET /static/media/banner-0.9c9f2782f4dd5345c2b9.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 28664 3464
2023-10-27 03:36:43 200 GET /static/media/banner-2.ebc92ccd692d6ea56134.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 85546 4543
2023-10-27 03:36:43 200 GET /manifest.json HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 492 3027
2023-10-27 03:36:43 200 GET /logo192.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 5347 4550
2023-10-27 03:36:56 200 POST /user/json/login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 30 35846
2023-10-27 03:37:11 200 GET /user/addUser HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 http://127.0.0.1:8001/ 127.0.0.1 1392 6470
